TIME,RES
2021-11-17 10:22:46,6600
2021-11-17 10:23:16,6600
2021-11-17 10:23:46,6600
2021-11-17 10:24:16,6600
2021-11-17 10:24:46,6600
2021-11-17 10:25:17,6600
2021-11-17 10:25:47,6600
2021-11-17 10:26:17,6700
2021-11-17 10:26:47,6600
2021-11-17 10:27:17,7000
2021-11-17 10:27:47,6600
2021-11-17 10:28:17,6600
2021-11-17 10:28:48,7600
2021-11-17 10:29:18,7600
2021-11-17 10:29:48,6600
2021-11-17 10:30:18,6600
2021-11-17 10:30:48,6600
2021-11-17 10:31:18,6600
2021-11-17 10:31:49,7300
2021-11-17 10:32:19,6700
2021-11-17 10:32:49,6600
2021-11-17 10:33:19,6700
2021-11-17 10:33:49,6600
2021-11-17 10:34:19,6600
2021-11-17 10:34:50,6600
2021-11-17 10:35:20,6600
2021-11-17 10:35:50,6600
2021-11-17 10:36:20,6600
2021-11-17 10:36:50,6600
2021-11-17 10:37:20,6600
2021-11-17 10:37:50,6600
2021-11-17 10:38:21,6600
2021-11-17 10:38:51,6700
2021-11-17 10:39:21,6700
2021-11-17 10:39:51,7700
2021-11-17 10:40:21,6700
2021-11-17 10:40:51,7700
2021-11-17 10:41:22,6700
2021-11-17 10:41:52,6700
2021-11-17 10:42:22,7700
2021-11-17 10:42:52,6700
2021-11-17 10:43:22,6700
2021-11-17 10:43:52,6700
2021-11-17 10:44:22,6700
2021-11-17 10:44:53,6700
2021-11-17 10:45:23,6700
2021-11-17 10:45:53,6700
2021-11-17 10:46:23,6700
2021-11-17 10:46:53,6700
2021-11-17 10:47:23,6700
2021-11-17 10:47:54,6700
2021-11-17 10:48:24,6700
2021-11-17 10:48:54,7700
2021-11-17 10:49:24,6700
2021-11-17 10:49:54,6700
2021-11-17 10:50:24,6700
2021-11-17 10:50:55,6700
2021-11-17 10:51:25,7600
2021-11-17 10:51:55,6700
2021-11-17 10:52:25,6700
2021-11-17 10:52:55,6700
2021-11-17 10:53:25,7300
2021-11-17 10:53:55,6700
2021-11-17 10:54:26,6700
2021-11-17 10:54:56,6700
2021-11-17 10:55:26,6700
2021-11-17 10:55:56,6700
2021-11-17 10:56:26,6700
2021-11-17 10:56:56,6700
2021-11-17 10:57:27,7700
2021-11-17 10:57:57,6700
2021-11-17 10:58:27,6700
2021-11-17 10:58:57,6700
2021-11-17 10:59:27,6700
2021-11-17 10:59:57,7700
2021-11-17 11:00:28,6700
2021-11-17 11:00:58,6700
2021-11-17 11:01:28,6700
2021-11-17 11:01:58,6700
2021-11-17 11:02:28,6700
2021-11-17 11:02:58,6700
2021-11-17 11:03:28,6700
2021-11-17 11:03:59,7600
2021-11-17 11:04:29,6700
2021-11-17 11:04:59,6700
2021-11-17 11:05:29,7200
2021-11-17 11:05:59,6700
2021-11-17 11:06:29,7700
2021-11-17 11:07:00,6700
2021-11-17 11:07:30,7700
